"year","borough","neighborhood_u_h_f","sex","race_ethnicity","total_number_of_hiv_diagnoses","hiv_diagnoses_per_100_000_population","total_number_of_concurrent_hiv_aids_diagnoses","proportion_of_concurrent_hiv_aids_diagnoses_among_all_hiv_diagnoses","total_number_of_aids_diagnoses","aids_diagnoses_per_100_000_population","uhf_label"
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Male","Black",2,118.8,0,0,1,59.4,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Male","Latino/Hispanic",1,7.1,0,0,1,7.1,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Male","Other/Unknown",0,0,0,NA,0,0,209
2016,"Brooklyn","Bensonhurst - Bay
Ridge","Male","White",5,11.8,0,0,3,7.1,209
2016,"Brooklyn","Borough Park","All","All",19,7.6,7,36.8,13,5.2,206
2016,"Brooklyn","Borough Park","All","Asian/Pacific
Islander",4,6.7,2,50,3,5,206
2016,"Brooklyn","Borough Park","All","Black",3,25.8,1,33.3,2,17.2,206
2016,"Brooklyn","Borough Park","All","Latino/Hispanic",4,11.9,2,50,5,14.9,206
2016,"Brooklyn","Borough Park","All","Other/Unknown",0,0,0,NA,0,0,206
2016,"Brooklyn","Borough Park","All","White",8,5.6,2,25,3,2.1,206
2016,"Brooklyn","Borough Park","Female","All",2,1.6,2,100,3,2.3,206
2016,"Brooklyn","Borough Park","Female","Asian/Pacific
Islander",1,3.4,1,100,1,3.4,206
2016,"Brooklyn","Borough Park","Female","Black",0,0,0,NA,1,15.6,206
2016,"Brooklyn","Borough Park","Female","Latino/Hispanic",1,6.3,1,100,1,6.3,206
2016,"Brooklyn","Borough Park","Female","Other/Unknown",0,0,0,NA,0,0,206
2016,"Brooklyn","Borough Park","Female","White",0,0,0,NA,0,0,206
2016,"Brooklyn","Borough Park","Male","All",17,13.9,5,29.4,10,8.2,206
2016,"Brooklyn","Borough Park","Male","Asian/Pacific
Islander",3,10.1,1,33.3,2,6.7,206
2016,"Brooklyn","Borough Park","Male","Black",3,57.7,1,33.3,1,19.2,206
2016,"Brooklyn","Borough Park","Male","Latino/Hispanic",3,17.1,1,33.3,4,22.8,206
2016,"Brooklyn","Borough Park","Male","Other/Unknown",0,0,0,NA,0,0,206
2016,"Brooklyn","Borough Park","Male","White",8,11.8,2,25,3,4.4,206
2016,"Brooklyn","Canarsie - Flatlands","All","All",37,20.9,0,0,16,9,208
2016,"Brooklyn","Canarsie - Flatlands","All","Asian/Pacific
Islander",0,0,0,NA,0,0,208
2016,"Brooklyn","Canarsie - Flatlands","All","Black",32,28,0,0,14,12.2,208
2016,"Brooklyn","Canarsie - Flatlands","All","Latino/Hispanic",5,30,0,0,1,6,208
2016,"Brooklyn","Canarsie - Flatlands","All","Other/Unknown",0,0,0,NA,0,0,208
2016,"Brooklyn","Canarsie - Flatlands","All","White",0,0,0,NA,1,2.8,208
2016,"Brooklyn","Canarsie - Flatlands","Female","All",19,19,0,0,3,3,208
2016,"Brooklyn","Canarsie - Flatlands","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,208
2016,"Brooklyn","Canarsie - Flatlands","Female","Black",17,25.7,0,0,3,4.5,208
2016,"Brooklyn","Canarsie - Flatlands","Female","Latino/Hispanic",2,21.1,0,0,0,0,208
2016,"Brooklyn","Canarsie - Flatlands","Female","Other/Unknown",0,0,0,NA,0,0,208
2016,"Brooklyn","Canarsie - Flatlands","Female","White",0,0,0,NA,0,0,208
2016,"Brooklyn","Canarsie - Flatlands","Male","All",18,23.3,0,0,13,16.8,208
2016,"Brooklyn","Canarsie - Flatlands","Male","Asian/Pacific
Islander",0,0,0,NA,0,0,208
2016,"Brooklyn","Canarsie - Flatlands","Male","Black",15,31.1,0,0,11,22.8,208
2016,"Brooklyn","Canarsie - Flatlands","Male","Latino/Hispanic",3,41.7,0,0,1,13.9,208
2016,"Brooklyn","Canarsie - Flatlands","Male","Other/Unknown",0,0,0,NA,0,0,208
2016,"Brooklyn","Canarsie - Flatlands","Male","White",0,0,0,NA,1,5.9,208
2016,"Brooklyn","Coney Island -
Sheepshead Bay","All","All",28,11.4,9,32.1,17,6.9,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","All","Asian/Pacific
Islander",3,6.6,0,0,0,0,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","All","Black",7,44.4,0,0,2,12.7,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","All","Latino/Hispanic",3,10.6,1,33.3,3,10.6,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","All","Other/Unknown",0,0,0,NA,0,0,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","All","White",15,10,8,53.3,12,8,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","Female","All",7,5.4,2,28.6,4,3.1,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","Female","Asian/Pacific
Islander",1,4.3,0,0,0,0,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","Female","Black",2,20.9,0,0,1,10.5,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","Female","Latino/Hispanic",1,6.8,0,0,0,0,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","Female","Other/Unknown",0,0,0,NA,0,0,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","Female","White",3,3.7,2,66.7,3,3.7,210
2016,"Brooklyn","Coney Island -
Sheepshead Bay","Male","All",21,18.4,7,33.3,13,11.4,210
