"year","borough","neighborhood_u_h_f","sex","race_ethnicity","total_number_of_hiv_diagnoses","hiv_diagnoses_per_100_000_population","total_number_of_concurrent_hiv_aids_diagnoses","proportion_of_concurrent_hiv_aids_diagnoses_among_all_hiv_diagnoses","total_number_of_aids_diagnoses","aids_diagnoses_per_100_000_population","uhf_label"
2017,"Queens","Long Island City -
Astoria","All","All",47,25.9,8,17,20,11,401
2017,"Queens","Long Island City -
Astoria","All","Asian/Pacific
Islander",8,24.1,2,25,2,6,401
2017,"Queens","Long Island City -
Astoria","All","Black",5,49.4,0,0,3,29.6,401
2017,"Queens","Long Island City -
Astoria","All","Latino/Hispanic",25,59.3,5,20,10,23.7,401
2017,"Queens","Long Island City -
Astoria","All","Other/Unknown",2,58.1,1,50,2,58.1,401
2017,"Queens","Long Island City -
Astoria","All","White",7,7.5,0,0,3,3.2,401
2017,"Queens","Long Island City -
Astoria","Female","All",3,3.3,1,33.3,2,2.2,401
2017,"Queens","Long Island City -
Astoria","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,401
2017,"Queens","Long Island City -
Astoria","Female","Black",1,17.8,0,0,1,17.8,401
2017,"Queens","Long Island City -
Astoria","Female","Latino/Hispanic",2,9.3,1,50,1,4.7,401
2017,"Queens","Long Island City -
Astoria","Female","Other/Unknown",0,0,0,NA,0,0,401
2017,"Queens","Long Island City -
Astoria","Female","White",0,0,0,NA,0,0,401
2017,"Queens","Long Island City -
Astoria","Male","All",44,49,7,15.9,18,20.1,401
2017,"Queens","Long Island City -
Astoria","Male","Asian/Pacific
Islander",8,51.3,2,25,2,12.8,401
2017,"Queens","Long Island City -
Astoria","Male","Black",4,88.8,0,0,2,44.4,401
2017,"Queens","Long Island City -
Astoria","Male","Latino/Hispanic",23,110.9,4,17.4,9,43.4,401
2017,"Queens","Long Island City -
Astoria","Male","Other/Unknown",2,121.1,1,50,2,121.1,401
2017,"Queens","Long Island City -
Astoria","Male","White",7,14.8,0,0,3,6.4,401
2017,"Queens","Ridgewood - Forest
Hills","All","All",19,8.5,3,15.8,9,4,405
2017,"Queens","Ridgewood - Forest
Hills","All","Asian/Pacific
Islander",4,10.2,1,25,1,2.5,405
2017,"Queens","Ridgewood - Forest
Hills","All","Black",1,19,0,0,3,57,405
2017,"Queens","Ridgewood - Forest
Hills","All","Latino/Hispanic",10,16.6,0,0,1,1.7,405
2017,"Queens","Ridgewood - Forest
Hills","All","Other/Unknown",0,0,0,NA,0,0,405
2017,"Queens","Ridgewood - Forest
Hills","All","White",4,3.5,2,50,4,3.5,405
2017,"Queens","Ridgewood - Forest
Hills","Female","All",2,1.7,0,0,0,0,405
2017,"Queens","Ridgewood - Forest
Hills","Female","Asian/Pacific
Islander",1,4.7,0,0,0,0,405
2017,"Queens","Ridgewood - Forest
Hills","Female","Black",0,0,0,NA,0,0,405
2017,"Queens","Ridgewood - Forest
Hills","Female","Latino/Hispanic",1,3.1,0,0,0,0,405
2017,"Queens","Ridgewood - Forest
Hills","Female","Other/Unknown",0,0,0,NA,0,0,405
2017,"Queens","Ridgewood - Forest
Hills","Female","White",0,0,0,NA,0,0,405
2017,"Queens","Ridgewood - Forest
Hills","Male","All",17,16,3,17.6,9,8.5,405
2017,"Queens","Ridgewood - Forest
Hills","Male","Asian/Pacific
Islander",3,16.8,1,33.3,1,5.6,405
2017,"Queens","Ridgewood - Forest
Hills","Male","Black",1,40.6,0,0,3,121.9,405
2017,"Queens","Ridgewood - Forest
Hills","Male","Latino/Hispanic",9,31.6,0,0,1,3.5,405
2017,"Queens","Ridgewood - Forest
Hills","Male","Other/Unknown",0,0,0,NA,0,0,405
2017,"Queens","Ridgewood - Forest
Hills","Male","White",4,7.2,2,50,4,7.2,405
2017,"Queens","Rockaway","All","All",19,17.9,1,5.3,8,7.5,410
2017,"Queens","Rockaway","All","Asian/Pacific
Islander",1,20.9,0,0,0,0,410
2017,"Queens","Rockaway","All","Black",12,29.7,1,8.3,6,14.9,410
2017,"Queens","Rockaway","All","Latino/Hispanic",3,12.5,0,0,0,0,410
2017,"Queens","Rockaway","All","Other/Unknown",0,0,0,NA,0,0,410
2017,"Queens","Rockaway","All","White",3,8.3,0,0,2,5.6,410
2017,"Queens","Rockaway","Female","All",4,7,0,0,4,7,410
2017,"Queens","Rockaway","Female","Asian/Pacific
Islander",1,38.5,0,0,0,0,410
2017,"Queens","Rockaway","Female","Black",3,13.2,0,0,3,13.2,410
2017,"Queens","Rockaway","Female","Latino/Hispanic",0,0,0,NA,0,0,410
2017,"Queens","Rockaway","Female","Other/Unknown",0,0,0,NA,0,0,410
2017,"Queens","Rockaway","Female","White",0,0,0,NA,1,5.5,410
2017,"Queens","Rockaway","Male","All",15,30.2,1,6.7,4,8.1,410
2017,"Queens","Rockaway","Male","Asian/Pacific
Islander",0,0,0,NA,0,0,410
2017,"Queens","Rockaway","Male","Black",9,50.9,1,11.1,3,17,410
2017,"Queens","Rockaway","Male","Latino/Hispanic",3,26.2,0,0,0,0,410
2017,"Queens","Rockaway","Male","Other/Unknown",0,0,0,NA,0,0,410
2017,"Queens","Rockaway","Male","White",3,17,0,0,1,5.7,410
2017,"Queens","Southeast Queens","All","All",26,14,3,11.5,17,9.2,409
2017,"Queens","Southeast Queens","All","Asian/Pacific
Islander",2,6.3,0,0,1,3.1,409
2017,"Queens","Southeast Queens","All","Black",19,18.5,2,10.5,13,12.7,409
2017,"Queens","Southeast Queens","All","Latino/Hispanic",2,8.9,0,0,1,4.4,409
2017,"Queens","Southeast Queens","All","Other/Unknown",1,20.5,0,0,0,0,409
2017,"Queens","Southeast Queens","All","White",2,8.5,1,50,2,8.5,409
2017,"Queens","Southeast Queens","Female","All",8,8,1,12.5,6,6,409
2017,"Queens","Southeast Queens","Female","Asian/Pacific
Islander",1,6.1,0,0,1,6.1,409
2017,"Queens","Southeast Queens","Female","Black",5,8.9,1,20,4,7.1,409
2017,"Queens","Southeast Queens","Female","Latino/Hispanic",1,8.4,0,0,1,8.4,409
2017,"Queens","Southeast Queens","Female","Other/Unknown",1,38.9,0,0,0,0,409
2017,"Queens","Southeast Queens","Female","White",0,0,0,NA,0,0,409
2017,"Queens","Southeast Queens","Male","All",18,21.1,2,11.1,11,12.9,409
2017,"Queens","Southeast Queens","Male","Asian/Pacific
Islander",1,6.5,0,0,0,0,409
2017,"Queens","Southeast Queens","Male","Black",14,30.3,1,7.1,9,19.5,409
2017,"Queens","Southeast Queens","Male","Latino/Hispanic",1,9.4,0,0,0,0,409
2017,"Queens","Southeast Queens","Male","Other/Unknown",0,0,0,NA,0,0,409
2017,"Queens","Southeast Queens","Male","White",2,18.2,1,50,2,18.2,409
2017,"Queens","Southwest Queens","All","All",47,19.9,15,31.9,30,12.7,407
2017,"Queens","Southwest Queens","All","Asian/Pacific
Islander",11,14.9,6,54.5,11,14.9,407
2017,"Queens","Southwest Queens","All","Black",13,52.7,4,30.8,8,32.5,407
2017,"Queens","Southwest Queens","All","Latino/Hispanic",20,25.3,4,20,9,11.4,407
2017,"Queens","Southwest Queens","All","Other/Unknown",0,0,0,NA,0,0,407
2017,"Queens","Southwest Queens","All","White",3,6.1,1,33.3,2,4,407
2017,"Queens","Southwest Queens","Female","All",10,8.3,3,30,5,4.1,407
2017,"Queens","Southwest Queens","Female","Asian/Pacific
Islander",2,5.4,0,0,1,2.7,407
2017,"Queens","Southwest Queens","Female","Black",3,23.1,2,66.7,3,23.1,407
2017,"Queens","Southwest Queens","Female","Latino/Hispanic",5,12.4,1,20,1,2.5,407
2017,"Queens","Southwest Queens","Female","Other/Unknown",0,0,0,NA,0,0,407
2017,"Queens","Southwest Queens","Female","White",0,0,0,NA,0,0,407
2017,"Queens","Southwest Queens","Male","All",37,32.1,12,32.4,25,21.7,407
2017,"Queens","Southwest Queens","Male","Asian/Pacific
Islander",9,24.6,6,66.7,10,27.3,407
2017,"Queens","Southwest Queens","Male","Black",10,85.7,2,20,5,42.8,407
2017,"Queens","Southwest Queens","Male","Latino/Hispanic",15,38.8,3,20,8,20.7,407
2017,"Queens","Southwest Queens","Male","Other/Unknown",0,0,0,NA,0,0,407
2017,"Queens","Southwest Queens","Male","White",3,12.5,1,33.3,2,8.4,407
2017,"Queens","West Queens","All","All",120,31.3,27,22.5,55,14.4,402
2017,"Queens","West Queens","All","Asian/Pacific
Islander",23,23,10,43.5,13,13,402
2017,"Queens","West Queens","All","Black",7,32.5,1,14.3,6,27.9,402
2017,"Queens","West Queens","All","Latino/Hispanic",82,42.2,15,18.3,33,17,402
2017,"Queens","West Queens","All","Other/Unknown",0,0,0,NA,0,0,402
2017,"Queens","West Queens","All","White",8,12.8,1,12.5,3,4.8,402
2017,"Queens","West Queens","Female","All",5,2.7,1,20,3,1.6,402
2017,"Queens","West Queens","Female","Asian/Pacific
Islander",1,1.9,1,100,1,1.9,402
2017,"Queens","West Queens","Female","Black",1,10.3,0,0,1,10.3,402
2017,"Queens","West Queens","Female","Latino/Hispanic",3,3.3,0,0,1,1.1,402
2017,"Queens","West Queens","Female","Other/Unknown",0,0,0,NA,0,0,402
2017,"Queens","West Queens","Female","White",0,0,0,NA,0,0,402
2017,"Queens","West Queens","Male","All",115,58.1,26,22.6,52,26.3,402
2017,"Queens","West Queens","Male","Asian/Pacific
Islander",22,45.5,9,40.9,12,24.8,402
2017,"Queens","West Queens","Male","Black",6,50.9,1,16.7,5,42.4,402
2017,"Queens","West Queens","Male","Latino/Hispanic",79,75.9,15,19,32,30.7,402
2017,"Queens","West Queens","Male","Other/Unknown",0,0,0,NA,0,0,402
2017,"Queens","West Queens","Male","White",8,25.7,1,12.5,3,9.6,402
2017,"Staten
Island","Port Richmond","All","All",14,24.8,1,7.1,5,8.9,501
2017,"Staten
Island","Port Richmond","All","Asian/Pacific
Islander",0,0,0,NA,0,0,501
2017,"Staten
Island","Port Richmond","All","Black",8,56,0,0,3,21,501
2017,"Staten
Island","Port Richmond","All","Latino/Hispanic",5,26,1,20,2,10.4,501
2017,"Staten
Island","Port Richmond","All","Other/Unknown",0,0,0,NA,0,0,501
2017,"Staten
Island","Port Richmond","All","White",1,5.6,0,0,0,0,501
2017,"Staten
Island","Port Richmond","Female","All",4,13.7,0,0,1,3.4,501
2017,"Staten
Island","Port Richmond","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,501
2017,"Staten
Island","Port Richmond","Female","Black",4,51.4,0,0,1,12.8,501
2017,"Staten
Island","Port Richmond","Female","Latino/Hispanic",0,0,0,NA,0,0,501
2017,"Staten
Island","Port Richmond","Female","Other/Unknown",0,0,0,NA,0,0,501
2017,"Staten
Island","Port Richmond","Female","White",0,0,0,NA,0,0,501
2017,"Staten
Island","Port Richmond","Male","All",10,36.8,1,10,4,14.7,501
2017,"Staten
Island","Port Richmond","Male","Asian/Pacific
Islander",0,0,0,NA,0,0,501
2017,"Staten
Island","Port Richmond","Male","Black",4,61.6,0,0,2,30.8,501
2017,"Staten
Island","Port Richmond","Male","Latino/Hispanic",5,52.2,1,20,2,20.9,501
2017,"Staten
Island","Port Richmond","Male","Other/Unknown",0,0,0,NA,0,0,501
2017,"Staten
Island","Port Richmond","Male","White",1,11.6,0,0,0,0,501
2017,"Staten
Island","Stapleton - St.
George","All","All",17,16.4,8,47.1,21,20.2,502
2017,"Staten
Island","Stapleton - St.
George","All","Asian/Pacific
Islander",0,0,0,NA,0,0,502
2017,"Staten
Island","Stapleton - St.
George","All","Black",10,55.5,5,50,12,66.6,502
2017,"Staten
Island","Stapleton - St.
George","All","Latino/Hispanic",2,9.8,1,50,3,14.7,502
2017,"Staten
Island","Stapleton - St.
George","All","Other/Unknown",1,57.2,1,100,1,57.2,502
2017,"Staten
Island","Stapleton - St.
George","All","White",4,7.7,1,25,5,9.6,502
2017,"Staten
Island","Stapleton - St.
George","Female","All",6,11.1,1,16.7,4,7.4,502
2017,"Staten
Island","Stapleton - St.
George","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,502
2017,"Staten
Island","Stapleton - St.
George","Female","Black",5,50.8,1,20,2,20.3,502
2017,"Staten
Island","Stapleton - St.
George","Female","Latino/Hispanic",0,0,0,NA,1,9.6,502
2017,"Staten
Island","Stapleton - St.
George","Female","Other/Unknown",0,0,0,NA,0,0,502
2017,"Staten
Island","Stapleton - St.
George","Female","White",1,3.7,0,0,1,3.7,502
2017,"Staten
Island","Stapleton - St.
George","Male","All",11,22.2,7,63.6,17,34.3,502
2017,"Staten
Island","Stapleton - St.
George","Male","Asian/Pacific
Islander",0,0,0,NA,0,0,502
2017,"Staten
Island","Stapleton - St.
George","Male","Black",5,61.3,4,80,10,122.5,502
2017,"Staten
Island","Stapleton - St.
George","Male","Latino/Hispanic",2,20,1,50,2,20,502
2017,"Staten
Island","Stapleton - St.
George","Male","Other/Unknown",1,125,1,100,1,125,502
2017,"Staten
Island","Stapleton - St.
George","Male","White",3,12,1,33.3,4,15.9,502
2017,"Staten
Island","Willowbrook","All","All",3,3.9,0,0,0,0,503
2017,"Staten
Island","Willowbrook","All","Asian/Pacific
Islander",0,0,0,NA,0,0,503
2017,"Staten
Island","Willowbrook","All","Black",1,39.9,0,0,0,0,503
2017,"Staten
Island","Willowbrook","All","Latino/Hispanic",0,0,0,NA,0,0,503
2017,"Staten
Island","Willowbrook","All","Other/Unknown",1,80.3,0,0,0,0,503
2017,"Staten
Island","Willowbrook","All","White",1,2,0,0,0,0,503
2017,"Staten
Island","Willowbrook","Female","All",0,0,0,NA,0,0,503
2017,"Staten
Island","Willowbrook","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,503
2017,"Staten
Island","Willowbrook","Female","Black",0,0,0,NA,0,0,503
2017,"Staten
Island","Willowbrook","Female","Latino/Hispanic",0,0,0,NA,0,0,503
2017,"Staten
Island","Willowbrook","Female","Other/Unknown",0,0,0,NA,0,0,503
2017,"Staten
Island","Willowbrook","Female","White",0,0,0,NA,0,0,503
2017,"Staten
Island","Willowbrook","Male","All",3,8.2,0,0,0,0,503
2017,"Staten
Island","Willowbrook","Male","Asian/Pacific
Islander",0,0,0,NA,0,0,503
2017,"Staten
Island","Willowbrook","Male","Black",1,88.5,0,0,0,0,503
2017,"Staten
Island","Willowbrook","Male","Latino/Hispanic",0,0,0,NA,0,0,503
2017,"Staten
Island","Willowbrook","Male","Other/Unknown",1,164.5,0,0,0,0,503
2017,"Staten
Island","Willowbrook","Male","White",1,4.2,0,0,0,0,503
2018,"Bronx","Crotona - Tremont","All","All",83,48.4,10,12,74,43.1,105
2018,"Bronx","Crotona - Tremont","All","Asian/Pacific
Islander",0,0,0,NA,0,0,105
2018,"Bronx","Crotona - Tremont","All","Black",34,71.6,5,14.7,45,94.8,105
2018,"Bronx","Crotona - Tremont","All","Latino/Hispanic",49,42,5,10.2,28,24,105
2018,"Bronx","Crotona - Tremont","All","Other/Unknown",0,0,0,NA,0,0,105
2018,"Bronx","Crotona - Tremont","All","White",0,0,0,NA,1,32.6,105
2018,"Bronx","Crotona - Tremont","Female","All",26,28,3,11.5,27,29.1,105
2018,"Bronx","Crotona - Tremont","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,105
2018,"Bronx","Crotona - Tremont","Female","Black",12,47.6,2,16.7,18,71.3,105
2018,"Bronx","Crotona - Tremont","Female","Latino/Hispanic",14,22,1,7.1,9,14.1,105
2018,"Bronx","Crotona - Tremont","Female","Other/Unknown",0,0,0,NA,0,0,105
2018,"Bronx","Crotona - Tremont","Female","White",0,0,0,NA,0,0,105
2018,"Bronx","Crotona - Tremont","Male","All",57,72.3,7,12.3,47,59.6,105
2018,"Bronx","Crotona - Tremont","Male","Asian/Pacific
Islander",0,0,0,NA,0,0,105
2018,"Bronx","Crotona - Tremont","Male","Black",22,98.9,3,13.6,27,121.4,105
2018,"Bronx","Crotona - Tremont","Male","Latino/Hispanic",35,66.1,4,11.4,19,35.9,105
2018,"Bronx","Crotona - Tremont","Male","Other/Unknown",0,0,0,NA,0,0,105
2018,"Bronx","Crotona - Tremont","Male","White",0,0,0,NA,1,62.8,105
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","All","All",129,46.3,19,14.7,73,26.2,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","All","Asian/Pacific
Islander",0,0,0,NA,0,0,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","All","Black",96,56.2,14,14.6,57,33.3,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","All","Latino/Hispanic",22,59.5,4,18.2,14,37.9,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","All","Other/Unknown",1,19,0,0,0,0,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","All","White",10,18,1,10,2,3.6,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Female","All",31,20.1,2,6.5,21,13.6,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Female","Black",24,24.6,2,8.3,20,20.5,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Female","Latino/Hispanic",5,24.4,0,0,1,4.9,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Female","Other/Unknown",0,0,0,NA,0,0,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Female","White",2,7.2,0,0,0,0,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Male","All",98,78.9,17,17.3,52,41.9,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Male","Asian/Pacific
Islander",0,0,0,NA,0,0,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Male","Black",72,98,12,16.7,37,50.4,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Male","Latino/Hispanic",17,103.4,4,23.5,13,79,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Male","Other/Unknown",1,47.3,0,0,0,0,203
2018,"Brooklyn","Bedford Stuyvesant -
Crown Heights","Male","White",8,28.9,1,12.5,2,7.2,203
2018,"Brooklyn","Bensonhurst - Bay
Ridge","All","All",16,9.2,4,25,11,6.3,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","All","Asian/Pacific
Islander",3,5.9,0,0,1,2,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","All","Black",0,0,0,NA,1,30.6,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","All","Latino/Hispanic",7,26.3,3,42.9,7,26.3,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","All","Other/Unknown",1,40.6,0,0,0,0,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","All","White",5,5.6,1,20,2,2.2,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","Female","All",2,2.2,0,0,1,1.1,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","Female","Black",0,0,0,NA,0,0,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","Female","Latino/Hispanic",1,7.8,0,0,1,7.8,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","Female","Other/Unknown",0,0,0,NA,0,0,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","Female","White",1,2.1,0,0,0,0,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","Male","All",14,16.8,4,28.6,10,12,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","Male","Asian/Pacific
Islander",3,12.3,0,0,1,4.1,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","Male","Black",0,0,0,NA,1,60.4,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","Male","Latino/Hispanic",6,43.5,3,50,6,43.5,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","Male","Other/Unknown",1,84.5,0,0,0,0,209
2018,"Brooklyn","Bensonhurst - Bay
Ridge","Male","White",4,9.4,1,25,2,4.7,209
2018,"Brooklyn","Borough Park","All","All",24,9.6,8,33.3,13,5.2,206
2018,"Brooklyn","Borough Park","All","Asian/Pacific
Islander",5,8.4,2,40,4,6.7,206
2018,"Brooklyn","Borough Park","All","Black",4,35.1,0,0,0,0,206
2018,"Brooklyn","Borough Park","All","Latino/Hispanic",10,30.4,4,40,7,21.3,206
2018,"Brooklyn","Borough Park","All","Other/Unknown",0,0,0,NA,0,0,206
2018,"Brooklyn","Borough Park","All","White",5,3.5,2,40,2,1.4,206
2018,"Brooklyn","Borough Park","Female","All",2,1.6,1,50,2,1.6,206
2018,"Brooklyn","Borough Park","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,206
2018,"Brooklyn","Borough Park","Female","Black",0,0,0,NA,0,0,206
2018,"Brooklyn","Borough Park","Female","Latino/Hispanic",0,0,0,NA,1,6.4,206
2018,"Brooklyn","Borough Park","Female","Other/Unknown",0,0,0,NA,0,0,206
2018,"Brooklyn","Borough Park","Female","White",2,2.7,1,50,1,1.4,206
2018,"Brooklyn","Borough Park","Male","All",22,18,7,31.8,11,9,206
2018,"Brooklyn","Borough Park","Male","Asian/Pacific
Islander",5,16.8,2,40,4,13.5,206
2018,"Brooklyn","Borough Park","Male","Black",4,78,0,0,0,0,206
2018,"Brooklyn","Borough Park","Male","Latino/Hispanic",10,58.3,4,40,6,35,206
2018,"Brooklyn","Borough Park","Male","Other/Unknown",0,0,0,NA,0,0,206
2018,"Brooklyn","Borough Park","Male","White",3,4.4,1,33.3,1,1.5,206
2018,"Brooklyn","Canarsie - Flatlands","All","All",48,27.5,14,29.2,27,15.5,208
2018,"Brooklyn","Canarsie - Flatlands","All","Asian/Pacific
Islander",1,11.1,0,0,0,0,208
2018,"Brooklyn","Canarsie - Flatlands","All","Black",40,35.8,10,25,17,15.2,208
2018,"Brooklyn","Canarsie - Flatlands","All","Latino/Hispanic",6,36.3,4,66.7,7,42.4,208
2018,"Brooklyn","Canarsie - Flatlands","All","Other/Unknown",1,58.6,0,0,0,0,208
2018,"Brooklyn","Canarsie - Flatlands","All","White",0,0,0,NA,3,8.5,208
2018,"Brooklyn","Canarsie - Flatlands","Female","All",19,19.3,4,21.1,8,8.1,208
2018,"Brooklyn","Canarsie - Flatlands","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,208
2018,"Brooklyn","Canarsie - Flatlands","Female","Black",16,24.8,3,18.8,5,7.7,208
2018,"Brooklyn","Canarsie - Flatlands","Female","Latino/Hispanic",2,21.3,1,50,3,31.9,208
2018,"Brooklyn","Canarsie - Flatlands","Female","Other/Unknown",1,102.1,0,0,0,0,208
2018,"Brooklyn","Canarsie - Flatlands","Female","White",0,0,0,NA,0,0,208
2018,"Brooklyn","Canarsie - Flatlands","Male","All",29,38.1,10,34.5,19,24.9,208
2018,"Brooklyn","Canarsie - Flatlands","Male","Asian/Pacific
Islander",1,23.6,0,0,0,0,208
2018,"Brooklyn","Canarsie - Flatlands","Male","Black",24,50.8,7,29.2,12,25.4,208
2018,"Brooklyn","Canarsie - Flatlands","Male","Latino/Hispanic",4,56.2,3,75,4,56.2,208
2018,"Brooklyn","Canarsie - Flatlands","Male","Other/Unknown",0,0,0,NA,0,0,208
2018,"Brooklyn","Canarsie - Flatlands","Male","White",0,0,0,NA,3,17.8,208
2018,"Brooklyn","Coney Island -
Sheepshead Bay","All","All",20,8.2,6,30,14,5.7,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","All","Asian/Pacific
Islander",1,2.2,1,100,2,4.3,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","All","Black",5,32.5,1,20,4,26,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","All","Latino/Hispanic",5,17.9,1,20,2,7.2,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","All","Other/Unknown",0,0,0,NA,0,0,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","All","White",9,6,3,33.3,6,4,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","Female","All",4,3.1,3,75,5,3.8,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","Female","Black",1,10.7,1,100,2,21.5,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","Female","Latino/Hispanic",1,6.9,1,100,2,13.8,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","Female","Other/Unknown",0,0,0,NA,0,0,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","Female","White",2,2.5,1,50,1,1.2,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","Male","All",16,14,3,18.8,9,7.9,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","Male","Asian/Pacific
Islander",1,4.4,1,100,2,8.9,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","Male","Black",4,66,0,0,2,33,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","Male","Latino/Hispanic",4,29.7,0,0,0,0,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","Male","Other/Unknown",0,0,0,NA,0,0,210
2018,"Brooklyn","Coney Island -
Sheepshead Bay","Male","White",7,10.1,2,28.6,5,7.2,210
2018,"Brooklyn","Downtown - Heights -
Park Slope","All","All",37,16.9,2,5.4,20,9.2,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","All","Asian/Pacific
Islander",2,9.1,0,0,0,0,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","All","Black",18,55.4,0,0,11,33.9,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","All","Latino/Hispanic",8,24.4,1,12.5,6,18.3,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","All","Other/Unknown",0,0,0,NA,0,0,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","All","White",9,7.1,1,11.1,3,2.4,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","Female","All",11,9.4,0,0,6,5.1,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","Female","Asian/Pacific
Islander",0,0,0,NA,0,0,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","Female","Black",7,36.9,0,0,3,15.8,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","Female","Latino/Hispanic",2,11.4,0,0,2,11.4,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","Female","Other/Unknown",0,0,0,NA,0,0,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","Female","White",2,3.1,0,0,1,1.5,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","Male","All",26,25.7,2,7.7,14,13.8,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","Male","Asian/Pacific
Islander",2,22.5,0,0,0,0,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","Male","Black",11,81.6,0,0,8,59.3,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","Male","Latino/Hispanic",6,39.2,1,16.7,4,26.1,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","Male","Other/Unknown",0,0,0,NA,0,0,202
2018,"Brooklyn","Downtown - Heights -
Park Slope","Male","White",7,11.4,1,14.3,2,3.3,202
2018,"Brooklyn","East Flatbush -
Flatbush","All","All",94,37.8,16,17,52,20.9,207
2018,"Brooklyn","East Flatbush -
Flatbush","All","Asian/Pacific
Islander",3,32.6,1,33.3,1,10.9,207
2018,"Brooklyn","East Flatbush -
Flatbush","All","Black",73,42.5,13,17.8,40,23.3,207
2018,"Brooklyn","East Flatbush -
Flatbush","All","Latino/Hispanic",14,56.7,2,14.3,9,36.4,207
2018,"Brooklyn","East Flatbush -
Flatbush","All","Other/Unknown",0,0,0,NA,0,0,207
2018,"Brooklyn","East Flatbush -
Flatbush","All","White",4,10.1,0,0,2,5,207
